R_m,method,seed,seam_c0_rms_m,seam_c1_rms_deg
12.0,smoothstep,13,3.4677853415973407e-07,0.0008023674304801042
12.0,smoothstep,14,2.2789421552802724e-07,0.0005366726260716726
12.0,smoothstep,15,3.441840582189921e-07,0.0007925791467870037
12.0,smoothstep,16,2.6601150824339656e-07,0.0006243481922918449
12.0,smoothstep,17,1.1266533306998252e-07,0.0002604625229519422
12.0,smoothstep,18,1.1904133062728251e-07,0.0002782938030656399
12.0,smoothstep,19,3.532513460402914e-07,0.0008079608460706049
12.0,smoothstep,20,2.2552254292011173e-07,0.0005183661614031561
12.0,smoothstep,21,2.7667068256242637e-07,0.0006365268370381146
12.0,smoothstep,22,2.1308798027592153e-07,0.0005004194427477254
12.0,smoothstep,23,2.2861976539442525e-07,0.0005351529749931858
12.0,smoothstep,24,2.9664188778707154e-07,0.0006892598128940188
12.0,smoothstep,25,1.5555918969452527e-07,0.00036425829018885245
12.0,smoothstep,26,1.4452135981845115e-07,0.00033705938787360076
12.0,smoothstep,27,3.119207965326259e-07,0.0007225736100131691
12.0,smoothstep,28,2.85903759595483e-07,0.0006595750868948231
12.0,smoothstep,29,1.5301526650962593e-07,0.0003551560174807918
12.0,gaussian_shipped,0,0.002378022577383593,0.9373548476418443
12.0,gaussian_shipped,1,0.0007815536552210785,0.32403981194023523
12.0,gaussian_shipped,2,0.0019178298463005492,0.7198950532456001
12.0,gaussian_shipped,3,0.0008959894163623051,0.3667581477911736
12.0,gaussian_shipped,4,0.0016493821645854319,0.6583140697916973
12.0,gaussian_shipped,5,0.002369369548783751,0.8935916720536015
12.0,gaussian_shipped,6,0.0009775718083040222,0.37602908059324663
12.0,gaussian_shipped,7,0.0014268217588758825,0.6002040411097863
12.0,gaussian_shipped,8,0.0015930623843520896,0.5832920590460077
12.0,gaussian_shipped,9,0.0013517898209908742,0.5888998077325647
12.0,gaussian_shipped,10,0.002423633393342769,0.9765082349784938
12.0,gaussian_shipped,11,0.0017177654389483224,0.7191238079087329
12.0,gaussian_shipped,12,0.0023349268343575815,0.8459104561190469
12.0,gaussian_shipped,13,0.0024767295531974588,0.9373154080830758
12.0,gaussian_shipped,14,0.001627644975109762,0.6650212139004735
12.0,gaussian_shipped,15,0.0024581995272456823,0.910029138846591
12.0,gaussian_shipped,16,0.00189988277548224,0.8180289322054834
12.0,gaussian_shipped,17,0.0008046679149601839,0.2718086588230175
12.0,gaussian_shipped,18,0.0008502059746314515,0.376930498415441
12.0,gaussian_shipped,19,0.0025229590711683602,0.8796982351587563
12.0,gaussian_shipped,20,0.001610706234501809,0.5355042239620198
12.0,gaussian_shipped,21,0.001976011743823907,0.7437618165556584
12.0,gaussian_shipped,22,0.0015218972519718942,0.6605452754150469
12.0,gaussian_shipped,23,0.0016328269302177212,0.582626503620374
12.0,gaussian_shipped,24,0.002118648237494737,0.8863901754404241
12.0,gaussian_shipped,25,0.0011110204480258006,0.4291436062424011
12.0,gaussian_shipped,26,0.0010321870810082081,0.44511585035779117
12.0,gaussian_shipped,27,0.002227771845512778,0.9316604853568711
12.0,gaussian_shipped,28,0.0020419553721114456,0.8108916065277645
12.0,gaussian_shipped,29,0.001092851475288308,0.4483444092901042
12.0,gaussian_calibrated,0,6.789640680824357e-06,0.0027253676076538407
12.0,gaussian_calibrated,1,2.231462620331562e-06,0.0009398311489090619
12.0,gaussian_calibrated,2,5.475715692181542e-06,0.0020720797073819183
12.0,gaussian_calibrated,3,2.5581953042745537e-06,0.0010576448126592742
12.0,gaussian_calibrated,4,4.709253961422312e-06,0.00192083433290248
12.0,gaussian_calibrated,5,6.764934878805242e-06,0.0025964229865167027
12.0,gaussian_calibrated,6,2.7911262833302204e-06,0.0010804136133391027
12.0,gaussian_calibrated,7,4.073807856360974e-06,0.0017232170493566765
12.0,gaussian_calibrated,8,4.548451841777127e-06,0.0016965722458025865
12.0,gaussian_calibrated,9,3.859579487517793e-06,0.00170158859553162
12.0,gaussian_calibrated,10,6.9198669681890205e-06,0.0028467806586107086
12.0,gaussian_calibrated,11,4.904499316078741e-06,0.0020757533748945417
12.0,gaussian_calibrated,12,6.666595335165069e-06,0.0024602489874576477
12.0,gaussian_calibrated,13,7.071465128094466e-06,0.002715066284617071
12.0,gaussian_calibrated,14,4.647190755061513e-06,0.0019427972832753025
12.0,gaussian_calibrated,15,7.01855889448026e-06,0.002627947570319246
12.0,gaussian_calibrated,16,5.424473890153025e-06,0.0023767686141343593
12.0,gaussian_calibrated,17,2.2974575859489367e-06,0.0007924475124652315
12.0,gaussian_calibrated,18,2.427476142295036e-06,0.0010906262684884558
12.0,gaussian_calibrated,19,7.203457910188016e-06,0.002532298480177871
12.0,gaussian_calibrated,20,4.598827899549761e-06,0.0015535321745151294
12.0,gaussian_calibrated,21,5.641834459122256e-06,0.002145262097984693
